VISIT_AREA_ID,TRAVEL_ID,VISIT_AREA_NM,VISIT_START_YMD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION
2306030002,e_e000295,트레이더스 홀세일 클럽 안산점,2023-06-03,5.0,3.0,5.0
2306030003,e_e000295,백령 할인마트,2023-06-03,5.0,3.0,5.0
2306030007,e_e000295,아침 풍경펜션,2023-06-03,5.0,5.0,5.0
2306090002,e_e000305,국립 무의도 자연휴양림,2023-06-09,3.0,3.0,3.0
2306090003,e_e000305,선녀풍,2023-06-09,5.0,5.0,5.0
2306100002,e_e000305,거해 짬뽕 순두부,2023-06-10,3.0,2.0,2.0
2306100003,e_e000305,국립 무의도 자연휴양림,2023-06-10,3.0,3.0,3.0
2306100005,e_e000305,메이 드림,2023-06-10,5.0,5.0,5.0
2306100006,e_e000305,가마솥 닭 한 마리 북가좌동 직영점,2023-06-10,5.0,5.0,5.0
2306170002,e_e000335,타임 테라스 A 블록,2023-06-17,5.0,5.0,4.0
2306170004,e_e000335,인딕슬로우 송리단길점,2023-06-17,5.0,5.0,5.0
2306170005,e_e000335,워디 아더,2023-06-17,4.0,4.0,4.0
2306170006,e_e000335,스타필드 코엑스몰,2023-06-17,5.0,5.0,5.0
2306170007,e_e000335,탑 플레이스 PC방 신천점,2023-06-17,5.0,5.0,5.0
2306170008,e_e000335,잠실종합운동장,2023-06-17,5.0,5.0,5.0
2305270002,e_e000365,대이작도 마린 스포츠,2023-05-27,4.0,5.0,5.0
2305270003,e_e000365,대이작도 마린 스포츠,2023-05-27,5.0,5.0,5.0
2305270004,e_e000365,소이작도 부근 배 낚시터,2023-05-27,5.0,5.0,5.0
2305270005,e_e000365,캔 아버니 카페 편의점,2023-05-27,4.0,3.0,4.0
2305280001,e_e000365,바지락 체험어장,2023-05-28,5.0,5.0,5.0
2305280002,e_e000365,대이작 마린 스포츠,2023-05-28,4.0,3.0,3.0
2305290002,e_e000365,대이작도 해안탐방로,2023-05-29,4.0,4.0,5.0
2305270002,e_e000401,황해 짬뽕집,2023-05-27,3.0,2.0,2.0
2305270003,e_e000401,이성당 본점,2023-05-27,5.0,5.0,5.0
2305270004,e_e000401,홍성휴게소 서울 방향,2023-05-27,3.0,3.0,3.0
2305270005,e_e000401,시흥 프리미엄 아울렛,2023-05-27,3.0,2.0,3.0
2305280002,e_e000401,블룸 비스타,2023-05-28,5.0,5.0,5.0
2305280003,e_e000401,들꽃,2023-05-28,5.0,5.0,5.0
2305280004,e_e000401,블룸 비스타,2023-05-28,5.0,5.0,5.0
2305290001,e_e000401,노다지 장어,2023-05-29,3.0,2.0,2.0
2305290002,e_e000401,현대그린푸드 현대 블룸 비스타지점,2023-05-29,5.0,5.0,5.0
2305290003,e_e000401,스타필드 하남,2023-05-29,5.0,5.0,5.0
2306040003,e_e000437,선녀풍 2호점,2023-06-04,5.0,4.0,4.0
2306040004,e_e000437,선녀바위,2023-06-04,4.0,3.0,3.0
2306040005,e_e000437,카페 림,2023-06-04,4.0,4.0,4.0
2306040006,e_e000437,을왕리 해수욕장,2023-06-04,4.0,2.0,3.0
2306030002,e_e000443,삼목선착장,2023-06-03,5.0,5.0,5.0
2306030003,e_e000443,"삼목항(장봉,신도)",2023-06-03,5.0,5.0,5.0
2306030004,e_e000443,장봉도 공룡 침식 동굴,2023-06-03,5.0,5.0,5.0
2306030005,e_e000443,장봉도,2023-06-03,5.0,5.0,5.0
2306030006,e_e000443,가막머리 낙조,2023-06-03,5.0,5.0,5.0
2306030007,e_e000443,0415카페,2023-06-03,5.0,5.0,5.0
2306030008,e_e000443,장봉한,2023-06-03,5.0,5.0,5.0
2306030009,e_e000443,삼목선착장,2023-06-03,5.0,5.0,5.0
2306030010,e_e000443,나루터 식당,2023-06-03,5.0,5.0,5.0
2306040002,e_e000463,VIP 동물의료센터 서초점,2023-06-04,4.0,3.0,3.0
2306040003,e_e000463,GS25 경춘 대성점,2023-06-04,4.0,3.0,3.0
2306040004,e_e000463,청평 그린 충전소,2023-06-04,4.0,3.0,3.0
2306040005,e_e000463,가평 밤나무 숲 캠핑장,2023-06-04,4.0,4.0,4.0
2306050001,e_e000463,가평 잣 고을시장,2023-06-05,4.0,3.0,3.0
2306050002,e_e000463,지방도 제391호선,2023-06-05,4.0,4.0,4.0
2306050003,e_e000463,고거산 족발보쌈,2023-06-05,4.0,4.0,4.0
2306050004,e_e000463,새와 참새,2023-06-05,5.0,4.0,4.0
2306020002,e_e000506,롯데마트 금천점,2023-06-02,4.0,4.0,4.0
2306020004,e_e000506,노을캠핑장,2023-06-02,4.0,4.0,4.0
2306030001,e_e000506,중화요리 금성,2023-06-03,4.0,4.0,4.0
2306030002,e_e000506,전등사,2023-06-03,4.0,4.0,4.0
2306030003,e_e000506,초지진,2023-06-03,5.0,4.0,4.0
2306030005,e_e000506,로컬까회,2023-06-03,4.0,4.0,4.0
2306030006,e_e000506,대명항 수산물 직판장,2023-06-03,3.0,4.0,4.0
2306030007,e_e000506,김포함상공원,2023-06-03,4.0,4.0,4.0
2305270002,e_e000559,방아머리 선착장,2023-05-27,4.0,4.0,4.0
2305270003,e_e000559,대부,2023-05-27,4.0,4.0,4.0
2305270004,e_e000559,해물 천국,2023-05-27,3.0,2.0,2.0
2305270006,e_e000559,농업회 사법인 호박 회관,2023-05-27,5.0,5.0,5.0
2305270007,e_e000559,박지름 해변,2023-05-27,5.0,5.0,5.0
2305280001,e_e000559,덕적도항,2023-05-28,4.0,4.0,4.0
2305280002,e_e000559,방아머리 선착장,2023-05-28,4.0,4.0,4.0
2305280003,e_e000559,홍가네 감자탕 본점,2023-05-28,5.0,5.0,5.0
2306020002,e_e000574,전등사,2023-06-02,5.0,5.0,5.0
2306020003,e_e000574,마리 하우스펜션,2023-06-02,4.0,4.0,4.0
2306030002,e_e000574,대한 성공회 강화성당,2023-06-03,5.0,4.0,4.0
2306030003,e_e000574,뉴욕뉴욕,2023-06-03,3.0,2.0,2.0
2306100002,e_e000580,어둠 속의 대화,2023-06-10,5.0,5.0,5.0
2306100003,e_e000580,놀러와,2023-06-10,5.0,5.0,5.0
2306100004,e_e000580,감동 칩스 북촌 본점,2023-06-10,4.0,3.0,3.0
2306100005,e_e000580,백 년 토종삼계탕 북촌점,2023-06-10,5.0,4.0,4.0
2306100008,e_e000580,경복궁,2023-06-10,3.0,3.0,3.0
2306100009,e_e000580,배스킨라빈스 삼청 마당점,2023-06-10,3.0,4.0,3.0
2306100010,e_e000580,솔트 24,2023-06-10,3.0,3.0,3.0
2306100012,e_e000580,설화수의 집 북촌,2023-06-10,5.0,5.0,5.0
2305280003,e_e000588,HB 엘림 캐슬 오피스텔,2023-05-28,5.0,5.0,5.0
2305280004,e_e000588,강화풍물시장,2023-05-28,3.0,2.0,2.0
2305280005,e_e000588,조양 방직,2023-05-28,4.0,3.0,4.0
2305280006,e_e000588,황토 장인 만찬 강화도 본점,2023-05-28,5.0,5.0,5.0
2305280007,e_e000588,채플 갤러리,2023-05-28,4.0,3.0,4.0
2305280008,e_e000588,한옥카페 갤러리도 솔,2023-05-28,4.0,3.0,4.0
2305280009,e_e000588,화랑 농장,2023-05-28,5.0,5.0,5.0
2305280010,e_e000588,킴스클럽 부평점,2023-05-28,4.0,3.0,3.0
2305290002,e_e000588,워크업커피 부평점,2023-05-29,4.0,3.0,3.0
2306030002,e_e000632,덕수궁,2023-06-03,5.0,4.0,4.0
2306030003,e_e000632,왕성 식당,2023-06-03,4.0,3.0,4.0
2306030004,e_e000632,남대문시장,2023-06-03,3.0,3.0,3.0
2306040002,e_e000697,인천항 연안 부두,2023-06-04,5.0,5.0,5.0
2306040003,e_e000697,진리도 우 선착장,2023-06-04,5.0,5.0,5.0
2306040005,e_e000697,CU 덕적도점,2023-06-04,5.0,5.0,5.0
2306040006,e_e000697,바다 반점,2023-06-04,5.0,5.0,5.0
2306050001,e_e000697,CU 덕적도점,2023-06-05,5.0,5.0,5.0
2306050002,e_e000697,목섬 펜션,2023-06-05,5.0,4.0,5.0
2306060001,e_e000697,뻘짬뽕,2023-06-06,5.0,5.0,5.0
2306060002,e_e000697,진리도 우 선착장,2023-06-06,5.0,5.0,5.0
2306060003,e_e000697,인천항 연안 부두,2023-06-06,5.0,5.0,5.0
2305270002,e_e000736,한국잡월드,2023-05-27,5.0,5.0,5.0
2305270003,e_e000736,나인 트리 프리미어 호텔 서울 판교,2023-05-27,3.0,2.0,2.0
2305270004,e_e000736,카페거부기&쿠펫 판교점,2023-05-27,5.0,5.0,5.0
2305270005,e_e000736,장터 푸드코트 키즈북카페,2023-05-27,5.0,4.0,5.0
2305270006,e_e000736,GS25 파미 버스 1점,2023-05-27,5.0,5.0,5.0
2305270007,e_e000736,나인 트리 프리미어 호텔 서울 판교,2023-05-27,3.0,2.0,2.0
2305270002,e_e000823,인천종합터미널,2023-05-27,4.0,5.0,4.0
2305270003,e_e000823,인천항 연안여객터미널,2023-05-27,4.0,5.0,5.0
2305270004,e_e000823,조기역사관,2023-05-27,4.0,3.0,3.0
2305270005,e_e000823,등대공원,2023-05-27,5.0,5.0,5.0
2305270006,e_e000823,구리 동해 수욕장,2023-05-27,4.0,4.0,4.0
2305270007,e_e000823,백로 서식지,2023-05-27,3.0,3.0,3.0
2305270008,e_e000823,연평 평화 전망대,2023-05-27,4.0,4.0,4.0
2305270009,e_e000823,망향비,2023-05-27,4.0,3.0,3.0
2305270010,e_e000823,연평도 안보교육장,2023-05-27,5.0,4.0,4.0
2305270011,e_e000823,연평 책성,2023-05-27,5.0,4.0,4.0
2305270012,e_e000823,인천항 연안여객터미널,2023-05-27,4.0,4.0,4.0
2305270013,e_e000823,어썸 호텔,2023-05-27,4.0,4.0,4.0
2305280001,e_e000823,인천항 연안여객터미널,2023-05-28,4.0,4.0,4.0
2305280002,e_e000823,용기포,2023-05-28,5.0,5.0,5.0
2305280003,e_e000823,용기포항 서 방파제 등 대,2023-05-28,5.0,4.0,4.0
2305280004,e_e000823,끝섬 전망대,2023-05-28,4.0,3.0,3.0
2305280005,e_e000823,하늬 해변 패총,2023-05-28,4.0,3.0,3.0
2305280006,e_e000823,심청각,2023-05-28,3.0,3.0,3.0
2305280008,e_e000823,백령도 유람선,2023-05-28,5.0,4.0,4.0
2305280009,e_e000823,두무진,2023-05-28,5.0,5.0,5.0
2305280010,e_e000823,중화동 교회,2023-05-28,4.0,3.0,3.0
2305280011,e_e000823,용트림 바위,2023-05-28,5.0,5.0,5.0
2305280012,e_e000823,4년 노송,2023-05-28,4.0,3.0,3.0
2305280013,e_e000823,콩돌해안,2023-05-28,4.0,4.0,4.0
2305280014,e_e000823,제이 앤 비 모텔,2023-05-28,5.0,5.0,5.0
2305290001,e_e000823,사자바위,2023-05-29,4.0,3.0,3.0
2305290002,e_e000823,천안함 46용사 위령탑,2023-05-29,5.0,3.0,4.0
2305290003,e_e000823,백령 대교,2023-05-29,4.0,4.0,4.0
2305290004,e_e000823,사곶천연비행장,2023-05-29,5.0,5.0,5.0
2305290005,e_e000823,용기포구 등대,2023-05-29,5.0,5.0,5.0
2305290006,e_e000823,백령면 사무소,2023-05-29,5.0,5.0,5.0
2305290007,e_e000823,물범바위,2023-05-29,5.0,5.0,5.0
2305290008,e_e000823,신항 먹거리타운,2023-05-29,5.0,5.0,5.0
2305290009,e_e000823,용기포,2023-05-29,5.0,5.0,5.0
2305290010,e_e000823,부산 서부버스터미널,2023-05-29,5.0,5.0,5.0
2305270002,e_e000847,올레 찹쌀 꽈배기,2023-05-27,5.0,5.0,5.0
2305270003,e_e000847,GS25 통진 사랑 점,2023-05-27,5.0,5.0,5.0
2305270004,e_e000847,갑곶 돈대,2023-05-27,5.0,5.0,5.0
2305270005,e_e000847,고려산 짬뽕,2023-05-27,4.0,4.0,4.0
2305270006,e_e000847,플러스마트,2023-05-27,5.0,5.0,5.0
2305280001,e_e000847,대한 성공회 강화성당,2023-05-28,5.0,5.0,5.0
2305280002,e_e000847,강화성당,2023-05-28,5.0,5.0,5.0
2305280003,e_e000847,고려궁지,2023-05-28,5.0,5.0,5.0
2305280004,e_e000847,프랑스 백반,2023-05-28,5.0,5.0,5.0
2305280005,e_e000847,강화 광성보,2023-05-28,5.0,5.0,5.0
2305280007,e_e000847,롯데리아 인천 강화점,2023-05-28,5.0,5.0,5.0
2305280008,e_e000847,피자스쿨 강화점,2023-05-28,5.0,5.0,5.0
2305290001,e_e000847,조양 방직,2023-05-29,5.0,5.0,5.0
2305270002,e_e000866,수원 화성,2023-05-27,4.0,4.0,4.0
2305270003,e_e000866,화홍문 문화거리,2023-05-27,4.0,3.0,3.0
2305270004,e_e000866,코지 프로젝트,2023-05-27,5.0,4.0,4.0
2305270005,e_e000866,행궁 빙수,2023-05-27,4.0,4.0,4.0
2305270006,e_e000866,rmAnn,2023-05-27,4.0,3.0,3.0
2305270007,e_e000866,미식가의 주방,2023-05-27,5.0,5.0,5.0
2305270008,e_e000866,리코드엠,2023-05-27,4.0,3.0,3.0
2305270009,e_e000866,디렉션,2023-05-27,4.0,3.0,4.0
2305270010,e_e000866,행궁에뜨왈,2023-05-27,3.0,3.0,3.0
2305270011,e_e000866,화성행궁,2023-05-27,4.0,4.0,4.0
2305270012,e_e000866,수원 공방거리,2023-05-27,4.0,3.0,3.0
2305270013,e_e000866,용성통닭 본점,2023-05-27,4.0,3.0,4.0
2305270015,e_e000866,탑클라우드 호텔 수원점,2023-05-27,4.0,4.0,4.0
2305280001,e_e000866,카몬 행궁 본점,2023-05-28,4.0,4.0,4.0
2305280002,e_e000866,효원공원 월화원,2023-05-28,4.0,4.0,4.0
2305280003,e_e000866,나혜석거리,2023-05-28,3.0,3.0,3.0
2305280004,e_e000866,수원 시청역 수인 분당선,2023-05-28,4.0,4.0,4.0
2305310003,e_e000867,맥도날드 용인 동백 DT점,2023-05-31,5.0,4.0,4.0
2305310004,e_e000867,스타벅스 용인 동백 DT점,2023-05-31,5.0,4.0,5.0
2305310005,e_e000867,대 원 주유소,2023-05-31,3.0,3.0,3.0
2305270002,e_e000899,양주 감악산 캠핑장,2023-05-27,5.0,5.0,5.0
2305270006,e_e000899,양주 감악산 캠핑장,2023-05-27,5.0,5.0,5.0
2305280002,e_e000899,임진강 주상절리,2023-05-28,3.0,2.0,3.0
2305280003,e_e000899,카페 더 벙커,2023-05-28,4.0,4.0,4.0
2305280004,e_e000899,양주 감악산 캠핑장,2023-05-28,5.0,5.0,5.0
2305290002,e_e000899,부흥 국수 해방촌 국수,2023-05-29,5.0,5.0,5.0
2306020002,e_e000903,본토 바지락칼국수 해장국,2023-06-02,5.0,5.0,5.0
2306020003,e_e000903,고양이역 카페,2023-06-02,5.0,5.0,5.0
2306020004,e_e000903,목섬(항도),2023-06-02,5.0,5.0,5.0
2306020006,e_e000903,장미네,2023-06-02,3.0,3.0,3.0
2306020007,e_e000903,영흥 주안 닭강정,2023-06-02,4.0,4.0,5.0
2306020008,e_e000903,아르카나 호텔,2023-06-02,5.0,5.0,5.0
2306030001,e_e000903,푸젠성,2023-06-03,5.0,5.0,5.0
2306030002,e_e000903,십리포해수욕장,2023-06-03,5.0,5.0,5.0
2306030003,e_e000903,사이 바다,2023-06-03,5.0,5.0,5.0
2306030004,e_e000903,바다마을 떡볶이,2023-06-03,5.0,5.0,5.0
2306030005,e_e000903,낙조 전망대,2023-06-03,5.0,5.0,5.0
2306030006,e_e000903,카페 오름,2023-06-03,5.0,5.0,5.0
2305270002,e_e000905,더 빈 컨벤션 웨딩홀,2023-05-27,4.0,2.0,3.0
2305270003,e_e000905,롯데백화점 동탄점,2023-05-27,5.0,5.0,5.0
2305270005,e_e000905,백운원,2023-05-27,3.0,2.0,3.0
2305280001,e_e000905,수란 정 농원,2023-05-28,5.0,4.0,3.0
2305280002,e_e000905,롯데 프리미엄 아울렛 타임 빌라스,2023-05-28,4.0,5.0,5.0
2305280003,e_e000905,스타즈 호텔 동탄점,2023-05-28,5.0,5.0,5.0
2305290001,e_e000905,타임 테라스 A 블록,2023-05-29,5.0,5.0,5.0
2305290002,e_e000905,롯데백화점 동탄점,2023-05-29,5.0,5.0,5.0
2305290003,e_e000905,트레이더스 홀세일 클럽 동탄점,2023-05-29,5.0,5.0,5.0
2306030002,e_e001007,트레이더스 홀세일 클럽 스타필드 시티 부천점,2023-06-03,4.0,4.0,4.0
2306030003,e_e001007,화평동 냉면거리,2023-06-03,4.0,2.0,3.0
2306030004,e_e001007,월미도,2023-06-03,4.0,5.0,4.0
2306030005,e_e001007,월미도 선착장,2023-06-03,4.0,3.0,3.0
2306030006,e_e001007,선녀바위,2023-06-03,5.0,5.0,5.0
2306030008,e_e001007,블루오션 레지던스 호텔,2023-06-03,5.0,5.0,5.0
2306040001,e_e001007,수도국산 달동네 박물관,2023-06-04,5.0,5.0,5.0
2306040002,e_e001007,이강 숯불갈비 함흥냉면,2023-06-04,5.0,5.0,5.0
2306100002,e_e001078,인천광역시 교육청 교육과 학정 보원 인천학생과학관,2023-06-10,5.0,5.0,5.0
2306100003,e_e001078,영종원조국수집,2023-06-10,4.0,4.0,4.0
2306100004,e_e001078,인천국제공항 하늘정원,2023-06-10,4.0,3.0,3.0
2306100005,e_e001078,월미도행 여객터미널,2023-06-10,4.0,4.0,4.0
2306100006,e_e001078,롯데마트 송도점,2023-06-10,4.0,3.0,3.0
2306100007,e_e001078,송도센트럴파크,2023-06-10,5.0,5.0,5.0
2306100008,e_e001078,송쭈집 본점,2023-06-10,4.0,4.0,4.0
2305270002,e_e001085,사이드 쇼 월드 몰점,2023-05-27,3.0,3.0,3.0
2305270003,e_e001085,매트 블랙,2023-05-27,4.0,4.0,4.0
2305270004,e_e001085,롯데월드타워 롯데월드몰,2023-05-27,4.0,4.0,5.0
2305270005,e_e001085,롯데 에비뉴엘 잠실점,2023-05-27,4.0,4.0,4.0
2305270006,e_e001085,TWG Tea 잠실 롯데 에비뉴엘 월드타워점,2023-05-27,5.0,5.0,5.0
2305270007,e_e001085,바토스 잠실점,2023-05-27,4.0,4.0,4.0
2305270002,e_e001112,영동대교 휴게소,2023-05-27,3.0,3.0,3.0
2305270003,e_e001112,인터내셔널호텔 영종,2023-05-27,3.0,2.0,2.0
2305270004,e_e001112,은하수 광장,2023-05-27,4.0,4.0,4.0
2305270005,e_e001112,통 큰 회조기 창고,2023-05-27,5.0,4.0,5.0
2305270006,e_e001112,구읍뱃터,2023-05-27,4.0,4.0,4.0
2305270007,e_e001112,메가 MGC 커피 영종구읍뱃터점,2023-05-27,5.0,5.0,5.0
2305280001,e_e001112,97도씨 해물칼국수 영종 본점,2023-05-28,3.0,3.0,3.0
2305280002,e_e001112,평상인 제빵소,2023-05-28,5.0,5.0,5.0
2305270001,e_e001122,나인 트리 프리미어 호텔 서울 판교,2023-05-27,5.0,5.0,5.0
2305270002,e_e001122,더 몰트 하우스 서핑 시티 판교점,2023-05-27,5.0,5.0,5.0
2305270003,e_e001122,나인 트리 프리미어 호텔 서울 판교,2023-05-27,5.0,5.0,5.0
2305270005,e_e001122,나인 트리 프리미어 호텔 서울 판교,2023-05-27,5.0,5.0,5.0
2305280001,e_e001122,푸틴 판교점,2023-05-28,5.0,5.0,5.0
2305280002,e_e001122,호암미술관,2023-05-28,5.0,5.0,5.0
2305280003,e_e001122,스노피크 에버랜드 캠프 필드,2023-05-28,4.0,3.0,3.0
2306010002,e_e001133,발리다,2023-06-01,5.0,5.0,5.0
2306010003,e_e001133,대부바다 향기테마파크,2023-06-01,5.0,5.0,5.0
2306010004,e_e001133,군자농협 하나로마트 대부점,2023-06-01,3.0,3.0,3.0
2306010008,e_e001133,스테이 제부 펜션,2023-06-01,5.0,5.0,5.0
2306020001,e_e001133,오솔길,2023-06-02,5.0,5.0,5.0
2306020002,e_e001133,어가촌,2023-06-02,4.0,4.0,4.0
2305270003,e_e001139,현대 프리미엄 아울렛 김포점,2023-05-27,5.0,5.0,5.0
2305270004,e_e001139,아라 김포여객터미널 아라마린센터,2023-05-27,5.0,5.0,5.0
2305270005,e_e001139,바이콜로지 방학 개론 샹이 그리나점,2023-05-27,5.0,5.0,5.0
2305270002,e_e001156,두툼,2023-05-27,5.0,5.0,5.0
2305270003,e_e001156,카페에뚜왈 충정로점,2023-05-27,4.0,3.0,4.0
2305270004,e_e001156,서울로 717,2023-05-27,5.0,5.0,5.0
2305270005,e_e001156,충무로역 4호선,2023-05-27,5.0,5.0,5.0
2305280001,e_e001156,천주교 서울 대교구 주교좌 명동 대성당,2023-05-28,4.0,2.0,4.0
2305280002,e_e001156,쯔루하시후게츠 명동점,2023-05-28,4.0,5.0,5.0
2305280003,e_e001156,명동거리,2023-05-28,3.0,4.0,4.0
2305280005,e_e001156,동국대학교 서울캠퍼스,2023-05-28,5.0,5.0,5.0
2305280007,e_e001156,온 더 플랜 커피 랩,2023-05-28,5.0,5.0,5.0
2305290001,e_e001156,CGV 명동,2023-05-29,5.0,5.0,5.0
2305290002,e_e001156,청년 메밀,2023-05-29,5.0,5.0,5.0
2305290003,e_e001156,크림 시크,2023-05-29,5.0,5.0,5.0
2305270003,e_e001161,위크 엔드 라운지,2023-05-27,5.0,5.0,5.0
2305270005,e_e001161,제주 깜장 돼지 주안 북부역점,2023-05-27,5.0,5.0,5.0
2305280001,e_e001161,현대 프리미엄 아울렛 송도점,2023-05-28,5.0,5.0,5.0
2305280002,e_e001161,심통 즉석떡볶이,2023-05-28,5.0,5.0,5.0
2305280003,e_e001161,대오 통닭,2023-05-28,5.0,5.0,5.0
2305300003,e_e001203,경기도 광주시 오포읍 리치 식자재마트,2023-05-30,4.0,3.0,3.0
2305300004,e_e001203,한 통이 광주점,2023-05-30,4.0,3.0,3.0
2305300005,e_e001203,한국등잔 박물관,2023-05-30,4.0,3.0,3.0
2305300006,e_e001203,전통 발효음식 체험 교육장,2023-05-30,4.0,3.0,3.0
2305280002,e_e001209,대부도 비치펜션 캠핑장,2023-05-28,4.0,3.0,3.0
2305280003,e_e001209,대부도,2023-05-28,3.0,3.0,3.0
2305280004,e_e001209,대부도 비치펜션 캠핑장,2023-05-28,3.0,3.0,3.0
2305290001,e_e001209,라파예트 클럽하우스,2023-05-29,5.0,5.0,5.0
2305290003,e_e001235,파주출판도시,2023-05-29,4.0,4.0,4.0
2305290004,e_e001235,파주출판 단지 근린공원,2023-05-29,5.0,5.0,5.0
2305290006,e_e001235,네이처 스파,2023-05-29,5.0,5.0,5.0
2305290007,e_e001235,다이소 파주 교하점,2023-05-29,4.0,3.0,3.0
2305300003,e_e001235,광백 저수지,2023-05-30,5.0,3.0,4.0
2305270002,e_e001241,가평역 경춘선,2023-05-27,5.0,5.0,5.0
2305270003,e_e001241,가평역 레저,2023-05-27,4.0,5.0,5.0
2305270005,e_e001241,연화 펜션,2023-05-27,5.0,5.0,5.0
2305280002,e_e001241,가평역 경춘선,2023-05-28,5.0,5.0,5.0
2305270002,e_e001249,서울고속버스터미널(경부),2023-05-27,4.0,4.0,4.0
2305270003,e_e001249,준오헤어 이수역점,2023-05-27,4.0,4.0,4.0
2305270004,e_e001249,힐튼 가든인 서울 강남점,2023-05-27,5.0,5.0,5.0
2305270005,e_e001249,힐튼 가든인 서울 강남점,2023-05-27,5.0,5.0,5.0
2305280002,e_e001249,동서울 종합터미널,2023-05-28,4.0,3.0,3.0
2305270002,e_e001253,코엑스 아쿠아리움,2023-05-27,4.0,4.0,4.0
2305270003,e_e001253,남산공원 N서울타워,2023-05-27,4.0,4.0,4.0
2305270005,e_e001253,명동거리,2023-05-27,4.0,3.0,3.0
2305270006,e_e001253,동대문종합시장,2023-05-27,4.0,5.0,5.0
2305280001,e_e001253,짬뽕 지존 장안점,2023-05-28,4.0,3.0,3.0
2305280002,e_e001253,동대문디자인플라자(DDP) 동대문 역사 문화공원,2023-05-28,3.0,3.0,3.0
2305280003,e_e001253,현대 시티 아울렛 동대문점,2023-05-28,4.0,4.0,4.0
2305280004,e_e001253,밀리오레,2023-05-28,4.0,4.0,4.0
2305280005,e_e001253,강남 터미널 1구역 지하상가,2023-05-28,3.0,4.0,4.0
2306030002,e_e001268,서울대공원,2023-06-03,4.0,4.0,4.0
2306030003,e_e001268,역전 할머니 맥주 안양 일 번가 점,2023-06-03,4.0,4.0,4.0
2306030004,e_e001268,호텔 여기 어때 안양 1번가점,2023-06-03,4.0,4.0,4.0
2306040001,e_e001268,안양중앙시장,2023-06-04,4.0,4.0,4.0
2306040002,e_e001268,이마트 수원점,2023-06-04,4.0,4.0,4.0
2306050001,e_e001268,남이섬,2023-06-05,5.0,5.0,5.0
2305270002,e_e001272,마일스톤 커피 한남,2023-05-27,4.0,4.0,4.0
2305270004,e_e001272,난포 한남,2023-05-27,4.0,4.0,4.0
2305270005,e_e001272,토리아 에즈 구파발점,2023-05-27,4.0,4.0,4.0
2305270006,e_e001272,GS25 진관 헤스티아점,2023-05-27,4.0,4.0,4.0
2305280001,e_e001272,양양 감자 칼국수,2023-05-28,4.0,4.0,4.0
2305280002,e_e001272,카카오 프렌즈 홍대 플래그십스토어,2023-05-28,5.0,5.0,5.0
2305280003,e_e001272,왕과 탕후루,2023-05-28,4.0,3.0,4.0
2305280004,e_e001272,리틀 빅토리,2023-05-28,5.0,5.0,5.0
2305280005,e_e001272,테일러 커피 연남 1호점,2023-05-28,4.0,3.0,4.0
2305280006,e_e001272,그랑 핸드 마포,2023-05-28,5.0,5.0,5.0
2305280007,e_e001272,오브젝트,2023-05-28,4.0,4.0,5.0
2305280008,e_e001272,세븐일레븐 수서역사 5호점,2023-05-28,3.0,3.0,3.0
2305270002,e_e001273,미분당 연신내점,2023-05-27,3.0,2.0,2.0
2305270003,e_e001273,은평 한옥마을,2023-05-27,4.0,4.0,4.0
2305270004,e_e001273,진관사,2023-05-27,5.0,5.0,5.0
2305270005,e_e001273,투썸플레이스 은평 한옥마을 점,2023-05-27,4.0,3.0,3.0
2305270006,e_e001273,고속터미널역 지하상가,2023-05-27,3.0,3.0,2.0
2305270007,e_e001273,맘스터치 서래 마을점,2023-05-27,3.0,3.0,3.0
2305270008,e_e001273,CN 스파,2023-05-27,4.0,3.0,3.0
2305270009,e_e001273,CU 반포한 신점,2023-05-27,3.0,3.0,3.0
2305280001,e_e001273,스타벅스 파리에파크 R점,2023-05-28,4.0,3.0,3.0
2305280002,e_e001273,파리에스테이션,2023-05-28,3.0,3.0,3.0
2305280004,e_e001273,상봉역 7호선,2023-05-28,4.0,3.0,3.0
2305270002,e_e001283,뚝섬한강공원,2023-05-27,4.0,4.0,4.0
2305270003,e_e001283,껠끄쇼즈,2023-05-27,5.0,5.0,5.0
2305270004,e_e001283,카츠바이콘반,2023-05-27,5.0,5.0,5.0
2305270005,e_e001283,칠곡휴게소 서울 방향,2023-05-27,3.0,3.0,3.0
2305270006,e_e001283,문경휴게소 양평방향,2023-05-27,3.0,3.0,3.0
2305270007,e_e001283,충주휴게소 주유소 양평방향,2023-05-27,4.0,4.0,4.0
2305270008,e_e001283,서울숲,2023-05-27,4.0,4.0,4.0
2305270009,e_e001283,발랑스,2023-05-27,4.0,4.0,4.0
2305270010,e_e001283,더 현대 서울,2023-05-27,4.0,4.0,4.0
2305270011,e_e001283,소문난 성수 감자탕,2023-05-27,4.0,3.0,3.0
2305280001,e_e001283,진저 베어,2023-05-28,4.0,4.0,4.0
2305280002,e_e001283,밤부베이커리&브루잉 대치동,2023-05-28,3.0,3.0,3.0
2305280003,e_e001283,쎄쎄종,2023-05-28,4.0,3.0,3.0
2305280004,e_e001283,전제로,2023-05-28,5.0,5.0,5.0
2305280005,e_e001283,시멘트 서울,2023-05-28,5.0,5.0,5.0
2305280006,e_e001283,맥심 플랜트,2023-05-28,3.0,3.0,3.0
2305280007,e_e001283,뚝섬한강공원,2023-05-28,4.0,4.0,4.0
