TRAVELER_ID,AVG_VISIT_PER_TRIP_TYPE_1,AVG_VISIT_PER_TRIP_TYPE_2,AVG_VISIT_PER_TRIP_TYPE_3,AVG_VISIT_PER_TRIP_TYPE_4,AVG_VISIT_PER_TRIP_TYPE_5,AVG_VISIT_PER_TRIP_TYPE_6,AVG_VISIT_PER_TRIP_TYPE_7,AVG_VISIT_PER_TRIP_TYPE_8,AVG_VISIT_PER_TRIP_TYPE_9,AVG_VISIT_PER_TRIP_TYPE_10,AVG_VISIT_PER_TRIP_TYPE_11,AVG_VISIT_PER_TRIP_TYPE_12,AVG_VISIT_PER_TRIP_TYPE_13,AVG_DGSTFN_TYPE_1,AVG_DGSTFN_TYPE_2,AVG_DGSTFN_TYPE_3,AVG_DGSTFN_TYPE_4,AVG_DGSTFN_TYPE_5,AVG_DGSTFN_TYPE_6,AVG_DGSTFN_TYPE_7,AVG_DGSTFN_TYPE_8,AVG_DGSTFN_TYPE_9,AVG_DGSTFN_TYPE_10,AVG_DGSTFN_TYPE_11,AVG_DGSTFN_TYPE_12,AVG_DGSTFN_TYPE_13,cluster
e005215,0.4285714285714285,0.0,0.5,0.2,0.0,0.0,1.0,0.0,0.4,0.5,0.1428571428571428,0.0,0.0,0.75,0.8264015009673595,0.25,0.75,0.8740256124721604,0.8492029209091845,0.875,0.8269675925925926,1.0,0.75,1.0,0.7910223367697595,0.8516383672633672,1
e005230,0.4285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.8333333333333333,0.625,0.8475291375291376,0.7962807520518402,0.8740256124721604,0.8492029209091845,0.8425824842309557,0.8269675925925926,0.5,0.8289534668149796,0.7142857142857143,0.7910223367697595,0.8516383672633672,4
e005249,0.1428571428571428,0.0,0.5,0.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0714285714285714,0.0,0.5,0.75,0.8264015009673595,1.0,0.875,1.0,0.8492029209091845,0.8425824842309557,0.8269675925925926,0.8202814229622606,0.875,1.0,0.7910223367697595,0.75,5
e005293,0.1428571428571428,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.4285714285714285,1.0,1.0,1.0,0.8264015009673595,0.8475291375291376,0.5,0.8740256124721604,0.8492029209091845,0.8425824842309557,0.8269675925925926,0.875,0.8289534668149796,0.9166666666666669,1.0,0.875,0
e005312,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.8459076170810618,0.75,0.8475291375291376,1.0,0.8740256124721604,0.8492029209091845,0.8425824842309557,0.8269675925925926,0.8202814229622606,0.8289534668149796,1.0,0.7910223367697595,0.8516383672633672,4
e005353,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.8264015009673595,0.8475291375291376,0.7962807520518402,0.8740256124721604,0.8492029209091845,1.0,0.8269675925925926,1.0,0.8289534668149796,0.8226440017588126,0.7910223367697595,0.8516383672633672,1
e005360,0.2857142857142857,0.5,1.0,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.1428571428571428,1.0,0.0,0.875,0.75,0.625,0.625,0.5,0.8492029209091845,0.875,0.8269675925925926,0.8202814229622606,0.8289534668149796,0.75,0.5,0.8516383672633672,5
e005384,0.1428571428571428,0.5,0.0,0.2,1.0,0.0,1.0,0.0,0.2,1.0,0.2857142857142857,1.0,0.0,1.0,1.0,0.8475291375291376,1.0,0.75,0.8492029209091845,1.0,0.8269675925925926,1.0,1.0,0.8125,0.5,0.8516383672633672,5
e005399,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.8459076170810618,0.8264015009673595,0.8475291375291376,0.7962807520518402,0.8740256124721604,0.8492029209091845,0.75,0.8269675925925926,0.8202814229622606,0.8289534668149796,0.75,0.7910223367697595,0.8516383672633672,1
e005480,0.1428571428571428,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2142857142857142,0.0,0.0,1.0,1.0,1.0,0.7962807520518402,0.8740256124721604,0.8492029209091845,0.8425824842309557,0.8269675925925926,0.8333333333333333,0.8289534668149796,0.9166666666666669,0.7910223367697595,0.8516383672633672,4
e005567,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.8459076170810618,0.75,0.8475291375291376,1.0,0.8740256124721604,0.8492029209091845,0.8425824842309557,0.8269675925925926,0.8202814229622606,0.8289534668149796,0.75,0.7910223367697595,0.8516383672633672,4
